lon,lat,de,dn,du
171.55,-43.375,0,0,0
171.7,-43.375,0,0,0
171.85,-43.375,0,0,0
172,-43.375,0,0,0
172.15,-43.375,0,0,0
172.3,-43.375,0,0,0
172.45,-43.375,0,0,0
172.6,-43.375,0,0,0
172.75,-43.375,0,0,0
172.9,-43.375,0,0,0
173.05,-43.375,0,0,0
173.2,-43.375,0,0,0
173.35,-43.375,0,0,0
173.5,-43.375,0,0,0
173.65,-43.375,0,0,0
173.8,-43.375,0,0,0
173.95,-43.375,0,0,0
174.1,-43.375,0,0,0
174.25,-43.375,0,0,0
174.4,-43.375,0,0,0
174.55,-43.375,0,0,0
174.7,-43.375,0,0,0
174.85,-43.375,0,0,0
175,-43.375,0,0,0
175.15,-43.375,0,0,0
175.3,-43.375,0,0,0
175.45,-43.375,0,0,0
175.6,-43.375,0,0,0
175.75,-43.375,0,0,0
175.9,-43.375,0,0,0
176.05,-43.375,0,0,0
176.2,-43.375,0,0,0
176.35,-43.375,0,0,0
176.5,-43.375,0,0,0
171.55,-43.25,0,0,0
171.7,-43.25,0,0,0
171.85,-43.25,0,0,0
172,-43.25,1.9762906e-05,-2.1564296e-05,-6.54998e-07
172.15,-43.25,3.2598584e-05,-4.1439444e-05,-2.397386e-06
172.3,-43.25,3.8835356e-05,-6.2320636e-05,-5.7331e-06
172.45,-43.25,3.8815704e-05,-8.6768952e-05,-1.1115938e-05
172.6,-43.25,3.2358258e-05,-0.00011709261,-1.903963e-05
172.75,-43.25,1.910726e-05,-0.000155582154,-3.0019448e-05
172.9,-43.25,-9.86066e-07,-0.000204433598,-4.4457828e-05
173.05,-43.25,-2.6985954e-05,-0.000264912662,-6.2228356e-05
173.2,-43.25,-5.6003326e-05,-0.00033478158,-8.1614486e-05
173.35,-43.25,-8.2412402e-05,-0.000402776774,-9.7253296e-05
173.5,-43.25,-0.000100165782,-0.000445242456,-9.9284772e-05
173.65,-43.25,-0.00011589607,-0.000480084448,-9.3849674e-05
173.8,-43.25,-0.0001323196,-0.000513576892,-8.5083534e-05
